Order	Lambda	Cal	Bkgrnd
	(um)	(DN/s/col)	(DN/s/pix)
3	2.2865937	271.45	9.691
3	2.2863076	276.59	9.447
3	2.2860212	284.88	9.276
3	2.2857349	278.94	9.645
3	2.2854488	267.34	10.302
3	2.2851624	251.19	10.59
3	2.2848761	264.28	9.71
3	2.28459	275.45	9.156
3	2.2843037	276.15	9.394
3	2.2840173	260.4	10.7
3	2.283731	250.84	10.581
3	2.2834449	271.28	9.885
3	2.2831585	266.2	10.407
3	2.2828722	234.57	11.696
3	2.2825859	237.44	10.925
3	2.2822995	273.06	9.507
3	2.2820132	278.59	8.906
3	2.2817271	277.22	9.005
3	2.2814407	276.44	9.025
3	2.2811544	276.01	9.084
3	2.2808681	267.5	10.2
3	2.2805817	245.12	10.802
3	2.2802954	263.03	9.68
3	2.280009	276.03	8.898
3	2.2797227	285.17	8.663
3	2.2794363	284.3	8.578
3	2.27915	285.36	8.565
3	2.2788637	281.08	8.677
3	2.2785771	279.72	8.886
3	2.2782907	281.53	8.868
3	2.2780044	276.02	8.847
3	2.2777181	281.16	8.721
3	2.2774317	278.58	8.915
3	2.2771454	267.32	9.538
3	2.2768588	268.59	9.717
3	2.2765725	270.92	9.788
3	2.2762861	265.91	9.699
3	2.2759998	269.72	10.078
3	2.2757132	243.29	11.141
3	2.2754269	233.09	11.319
3	2.2751405	250.21	9.899
3	2.2748539	274.12	9.267
3	2.2745676	275.49	12.753
3	2.2742813	282.31	21.456
3	2.2739947	284.51	23.951
3	2.2737083	284.81	17.05
3	2.2734218	272.68	9.413
3	2.2731354	281.25	8.513
3	2.2728488	282.5	8.455
3	2.2725625	271.62	9.526
3	2.2722759	257.19	9.726
3	2.2719896	267.15	9.241
3	2.271703	277.14	9.2
3	2.2714167	279.09	9.911
3	2.2711301	284.27	9.641
3	2.2708437	285.34	8.428
3	2.2705572	280.96	8.933
3	2.2702839	266.11	10.547
3	2.2699974	271.65	10.598
3	2.2697108	282.67	10.189
3	2.2694244	283.39	10.633
3	2.2691379	282.24	15.72
3	2.2688513	265.01	18.463
3	2.2685649	249.54	14.744
3	2.2682784	248.44	11.487
3	2.2679918	261.86	10.296
3	2.2677052	277.64	9.318
3	2.2674186	281.19	8.622
3	2.2671323	278.52	8.774
3	2.2668457	284.75	8.687
3	2.2665591	285.94	7.99
3	2.2662725	294.52	7.843
3	2.265986	292.92	7.886
3	2.2656994	290.08	7.851
3	2.2654128	287.99	7.99
3	2.2651262	282.13	9.305
3	2.2648396	269.11	10.821
3	2.2645531	261.13	10.585
3	2.2642665	274.41	10.551
3	2.2639799	282.48	10.561
3	2.2636933	275.53	9.224
3	2.2634068	271.53	8.495
3	2.2631202	281.23	7.939
3	2.2628336	287.16	7.715
3	2.262547	282.5	8.762
3	2.2622602	270.27	10.384
3	2.2619736	264.05	11.307
3	2.261687	264.03	10.986
3	2.2614005	262.32	9.937
3	2.2611139	272.17	8.883
3	2.2608273	263.44	8.631
3	2.2605405	284.89	8.21
3	2.2602539	285	7.872
3	2.2599673	279.56	7.924
3	2.2596805	283.38	7.843
3	2.2593939	289.61	7.61
3	2.2591074	292.33	7.658
3	2.2588205	289.4	7.521
3	2.258534	289.22	7.728
3	2.2582474	283.86	7.933
3	2.2579606	282.11	7.785
3	2.257674	289.1	7.616
3	2.2573872	288.23	7.686
3	2.2571006	279.71	8.049
3	2.2568138	268.53	8.727
3	2.2565272	272	8.301
3	2.2562404	284.87	7.936
3	2.2559538	283.49	7.944
3	2.255667	277.41	8.023
3	2.2553804	282.24	7.912
3	2.2550936	288.15	7.75
3	2.2548068	292.64	7.712
3	2.2545202	292.43	8.34
3	2.2542334	287.99	8.798
3	2.2539468	273.22	8.44
3	2.25366	278.76	8.189
3	2.2533731	287.4	7.724
3	2.2530863	284.22	7.564
3	2.2527997	290.56	7.444
3	2.2525129	289.4	7.446
3	2.2522261	288.15	10.917
3	2.2519393	290.31	29.526
3	2.2516527	297.62	40.586
3	2.2513659	291.51	26.737
3	2.2510791	290.06	9.382
3	2.2507923	290.63	7.606
3	2.2505054	284.5	7.547
3	2.2502186	285.69	7.453
3	2.2499318	286.23	7.302
3	2.2496452	295.76	7.237
3	2.2493584	289.8	7.258
3	2.2490716	297.29	7.195
3	2.2487848	292.98	6.985
3	2.248498	296.66	6.928
3	2.2482111	300.48	6.965
3	2.2479243	298.36	7.014
3	2.2476375	300.23	7.233
3	2.2473507	282.76	7.674
3	2.2470636	271.72	8.241
3	2.2467768	279.81	8.05
3	2.24649	286.84	7.869
3	2.2462032	290.67	17.091
3	2.2459164	286.41	23.753
3	2.2456295	292.53	17.498
3	2.2453427	300.34	7.505
3	2.2450557	297.4	6.826
3	2.2447689	305.01	6.795
3	2.244482	296.41	6.929
3	2.2441952	293.38	7.554
3	2.2439084	285.11	8.22
3	2.2436213	286.21	8.108
3	2.2433345	295.95	7.473
3	2.2430477	297.77	8.34
3	2.2427607	297.07	8.752
3	2.2424738	300.31	8.023
3	2.2421999	294.39	7.803
3	2.2419131	303.13	7.906
3	2.2416263	300.19	7.872
3	2.2413392	292.94	7.997
3	2.2410524	295.12	7.398
3	2.2407653	298.6	6.828
3	2.2404785	297.35	6.832
3	2.2401915	293.29	6.982
3	2.2399046	298.13	6.855
3	2.2396176	297.65	6.625
3	2.2393308	297.49	6.495
3	2.2390437	306.91	6.468
3	2.2387569	306.18	6.494
3	2.2384698	300.59	6.667
3	2.238183	303.55	6.603
3	2.237896	297.65	6.896
3	2.2376089	298.98	6.883
3	2.2373221	296.56	6.792
3	2.237035	301.79	6.676
3	2.236748	299.92	6.654
3	2.2364612	299.98	6.789
3	2.2361741	301.32	6.925
3	2.2358871	302.26	6.913
3	2.2356	303.39	6.663
3	2.2353132	306.16	6.488
3	2.2350261	307.53	7.138
3	2.2347391	306.64	9.407
3	2.234452	307.16	11.102
3	2.234165	310.86	9.997
3	2.2338779	308.18	10.505
3	2.2335911	300.71	11.214
3	2.233304	305.17	8.582
3	2.233017	308.59	7.55
3	2.2327299	304.26	7.503
3	2.2324429	297.01	7.904
3	2.2321558	290.9	8.388
3	2.2318687	302.2	9.13
3	2.2315817	295.84	22.889
3	2.2312946	294.41	63.851
3	2.2310076	306.82	63.504
3	2.2307205	306.47	21.049
3	2.2304335	305.01	6.864
3	2.2301464	308.4	6.406
3	2.2298594	314.68	6.147
3	2.2295723	308.13	6.092
3	2.229285	308.44	6.296
3	2.2289979	310.63	6.799
3	2.2287109	307.68	7.216
3	2.2284238	309.09	6.744
3	2.2281368	307.93	6.112
3	2.2278497	312.82	6.223
3	2.2275624	308.75	7.484
3	2.2272754	308.92	8.162
3	2.2269883	298.96	7.24
3	2.2267013	302.84	7.048
3	2.226414	298.52	7.238
3	2.2261269	313.59	6.827
3	2.2258399	310.28	6.34
3	2.2255526	308.89	6.205
3	2.2252655	310.15	6.872
3	2.2249784	304.17	20.192
3	2.2246912	307.91	35.714
3	2.2244041	308.85	26.499
3	2.2241168	314.05	7.232
3	2.2238297	309.59	6.035
3	2.2235427	312.9	5.832
3	2.2232554	315.61	5.837
3	2.2229683	315.92	5.915
3	2.222681	312.39	5.919
3	2.222394	308.17	5.786
3	2.2221067	312.24	5.713
3	2.2218194	294.52	5.911
3	2.2215323	302.34	6.221
3	2.2212451	296.14	5.968
3	2.220958	312.63	5.916
3	2.2206707	310.93	5.831
3	2.2203836	310.33	5.874
3	2.2200963	314.52	5.816
3	2.2198091	310.59	5.784
3	2.219522	314.61	5.689
3	2.2192347	314.95	5.765
3	2.2189474	315.27	5.707
3	2.2186601	316.83	5.691
3	2.2183731	312.29	5.755
